item_id,model,condition,output,seconds,gpu,coverage,n_attrs,unsupported_terms,words,echo,reps,usable,unsup_any
B07QTHYQD7,smolvlm-500m,image_meta,"Eono by Amazon - Bolsas Compra Reutilizables Ecológicas Bolsa de Malla para Almacenamiento Fruta Verduras Juguetes Lavable y Transpirable 3 Diversos Tamaños, 9 Pcs (2L+5M+2S)

This product is a reusable container for storing and organizing fruits and vegetables. It is made from eco-friendly materials and is perfect for storing a variety of fruits and vegetables. The container is designed to be easy to clean and maintain, and it can be stored in a variety of locations, such as a pantry, a kitchen, or a closet.

The container is 2L+5",8.64,Tesla T4,0.5,4,0,94,False,0.9655172413793104,True,False
B07QTHYQD7,smolvlm-500m,image_only,9 Pack. 1000x1000. 9 Pack. 1000x1000. 9 Pack. 1000x1000. 9 Pack. 1000x1000. 9 Pack. 1000x1000. 9 Pack. 1000x1000. 9 Pack. 1000x1000. 9 Pack. 1000x1000. 9 Pack. 1000x1000. 9 Pack. 1000x1000.,6.25,Tesla T4,0.0,4,0,30,False,0.1071428571428571,False,False
B07KYG85X8,smolvlm-500m,image_meta,"AmazonBasics Premium Microfiber Pillowcases, 2-Pack - 40 x 80 cm, Bright White. These pillowcases are made from 100% microfiber, which is a durable, soft, and wrinkle-free material. They are perfect for keeping your bedding in pristine condition. The bright white color of the pillowcases makes them easy to see and clean. They are also dishwasher safe, so you can keep them clean and fresh for years to come.",5.39,Tesla T4,1.0,3,0,69,False,1.0,True,False
B07KYG85X8,smolvlm-500m,image_only,A pen. A pen is a tool used for writing. One practical benefit of a pen is that it can be used to write notes or draw sketches.,1.82,Tesla T4,0.0,3,0,28,True,0.9615384615384616,False,False
B07YFZWQG7,smolvlm-500m,image_meta,Find. is a brand of high heels. The find. is a mid-heel strappy sandal with an ankle strap. The ankle strap is adjustable and can be worn with different shoes. The find. is a classic and timeless piece of footwear that is perfect for a special occasion or everyday wear.,2.66,Tesla T4,0.6666666666666666,3,0,51,False,0.9375,True,False
B07YFZWQG7,smolvlm-500m,image_only,High heel sandal with ankle strap. Practical benefit: Support for the foot.,1.01,Tesla T4,0.0,3,0,12,False,1.0,True,False
B07F611M31,smolvlm-500m,image_meta,Sneakers are a popular choice for casual wear. They offer a comfortable and stylish fit. One practical benefit of these shoes is that they are very durable.,1.78,Tesla T4,0.25,4,0,27,True,1.0,False,False
B07F611M31,smolvlm-500m,image_only,Scooter.,0.54,Tesla T4,0.0,4,0,1,False,0.0,False,False
B0896KVCJY,smolvlm-500m,image_meta,"This AmazonBasics Eastlake Coolers Glass Drinkware Set, 15-Ounce, Set of 6 is a perfect gift for a special occasion. It is made from high-quality glass and is perfect for enjoying a cold drink on a hot day. The set includes a 15-ounce glass with a wide base and a narrow top, which is perfect for holding a variety of drinks. The glass is also dishwasher safe, so you can enjoy your drink without worrying about damaging it.",4.73,Tesla T4,0.3333333333333333,3,0,80,False,0.9866666666666668,True,False
B0896KVCJY,smolvlm-500m,image_only,A clear glass with a round base.,0.83,Tesla T4,0.3333333333333333,3,0,7,False,1.0,True,False
B07SK9MRTF,smolvlm-500m,image_meta,"The Alkove Hayes CHAIR is a stylish and functional piece of furniture. It is perfect for a dining room or living room. The CHAIR has a modern design with a simple, yet elegant look. The CHAIR is made of high-quality wood, which is both durable and easy to maintain. The CHAIR has a sturdy frame that is built to last. The CHAIR is also very comfortable to sit on, with a high back and a supportive seat. The CHAIR is perfect for families or anyone who needs a piece of furniture that is both stylish and functional.",5.66,Tesla T4,0.5,4,1,98,False,0.9473684210526316,True,True
B07SK9MRTF,smolvlm-500m,image_only,"A product is a set of two wooden chairs. They have a simple design with a back and four legs. The back has an X shape, which is a common design for chairs. The chairs are made of wood and have a light brown finish. They are both the same size and shape.",3.64,Tesla T4,0.25,4,3,53,False,1.0,True,True
B07HK65QM8,smolvlm-500m,image_meta,These are the perfect size for your sleep bag. They are perfect for your sleep bag because they are perfect for your sleep bag.,1.63,Tesla T4,0.25,4,0,24,False,0.7272727272727273,True,False
B07HK65QM8,smolvlm-500m,image_only,A green pair of dumbbells.,0.93,Tesla T4,0.0,4,1,5,False,1.0,True,True
B01N16EEHY,smolvlm-500m,image_meta,The Finley Dome Stud Slide Sandal is a stylish and durable option for everyday wear. Its dome stud design provides a secure fit and adds a touch of sophistication to any outfit.,1.63,Tesla T4,0.25,4,0,32,False,1.0,True,False
